"Official name (known as)","Location","Country","No. of ODIs"
"VRA Cricket Ground","Amstelveen, North Holland"," Netherlands","19"
"Galle International Stadium","Galle, Southern Province","Sri Lanka","4"
"Kallang Ground","Singapore, Singapore"," Singapore","9"
"Westpac Stadium (formerly WestpacTrust Stadium)","Wellington, Wellington","New Zealand","27"
"Docklands Stadium (Etihad Stadium,formerly Colonial Stadium/Telstra Dome)","Melbourne, Victoria","Australia","12"
"North West Cricket Stadium (Senwes Park)","Potchefstroom, North West","South Africa","17"
"Barkatullah Khan Stadium","Jodhpur, Rajasthan","India","2"
"Rangiri Dambulla International Stadium","Dambulla, Central Province","Sri Lanka","45"
"Simba Union Ground","Nairobi, Nairobi County","Kenya","1"
"Beausejour","Gros Islet, Saint Lucia (West Indies)","Saint Lucia","26"
"National Cricket Stadium","Tangier, Tangier-Tetouan","Morocco","7"
"Indira Gandhi Stadium (Indira Gandhi Municipal Corporation Stadium)","Vijayawada, Andhra Pradesh","India","1"
"Kwekwe Sports Club","Kwekwe, Midlands"," Zimbabwe","1"
"Queenstown Events Centre (formerly Davies Park)","Queenstown, Otago","New Zealand","9"
"City Oval (Alexandra Park)","Pietermaritzburg, KwaZulu-Natal","South Africa","2"
"Rose Bowl (Ageas Bowl)","Southampton, Hampshire","England","17"
"Bundaberg Rum Stadium (Cazaly's Stadium)","Cairns, Queensland","Australia","2"
"Marrara Oval (Marrara Cricket Ground)","Darwin, Northern Territory","Australia","4"
"Multan Cricket Stadium","Multan, Punjab","Pakistan","7"
"Dr YS Rajasekhara Reddy Andhra CA-Visakhapatnam District CA Cricket Stadium (ACA-VDCA Stadium)","Visakhapatnam, Andhra Pradesh","India","5"
"Rajiv Gandhi International Cricket Stadium (Uppal)","Hyderabad, Telangana","India","5"
"Shaheed Chandu Stadium","Bogra, Rajshahi Division"," Bangladesh","5"
"Chittagong Divisional Stadium (Zahur Ahmed Chowdhury Stadium)","Chittagong, Chittagong Division"," Bangladesh","15"
"Khulna Divisional Stadium (Sheikh Abu Naser Stadium/Bir Shrestha Flight Lieutenant Motiur Rahman Stadium)","Khulna, Khulna Division"," Bangladesh","4"
"Narayanganj Osmani Stadium","Fatullah, Narayanganj District"," Bangladesh","10"
"Holkar Cricket Stadium (formerly Maharani Usharaje Trust Cricket Ground)","Indore, Madhya Pradesh","India","4"
"Sheikh Zayed Cricket Stadium","Abu Dhabi, United Arab Emirates","United Arab Emirates","28"
"Warner Park","Basseterre, Saint Kitts and Nevis (West Indies)","Saint Kitts and Nevis","14"
"Civil Service Cricket Club (Stormont)","Belfast, County Antrim","Northern Ireland","19"
"Cambusdoon New Ground","Ayr, Ayrshire","Scotland","7"
"Kinrara Academy Oval","Puchong, Kuala Lumpur","Malaysia","9"
"Mombasa Sports Club Ground","Mombasa, Coast Province","Kenya","12"
"Shere-e-Bangla Stadium","Mirpur, Dhaka Division"," Bangladesh","82"
