"file_id","city","date","team1","team2","toss_winner","toss_decision","result","win_team"
"924627","Bulawayo","[datetime.date(2015, 10, 16)]","Zimbabwe","Afghanistan","Afghanistan","bat","","Zimbabwe"
"924629","Bulawayo","[datetime.date(2015, 10, 18)]","Zimbabwe","Afghanistan","Afghanistan","bat","","Afghanistan"
"924633","Bulawayo","[datetime.date(2015, 10, 22)]","Zimbabwe","Afghanistan","Zimbabwe","bat","","Afghanistan"
"931390","Mirpur","[datetime.date(2015, 11, 7)]","Bangladesh","Zimbabwe","Zimbabwe","field","","Bangladesh"
"931392","Mirpur","[datetime.date(2015, 11, 9)]","Bangladesh","Zimbabwe","Zimbabwe","field","","Bangladesh"
"931394","Mirpur","[datetime.date(2015, 11, 11)]","Bangladesh","Zimbabwe","Bangladesh","bat","","Bangladesh"
"953335","","[datetime.date(2015, 12, 25)]","Afghanistan","Zimbabwe","Afghanistan","bat","","Afghanistan"
"953337","","[datetime.date(2015, 12, 29)]","Afghanistan","Zimbabwe","Zimbabwe","bat","","Afghanistan"
"953339","","[datetime.date(2016, 1, 2)]","Afghanistan","Zimbabwe","Zimbabwe","bat","","Zimbabwe"
"953341","","[datetime.date(2016, 1, 4)]","Afghanistan","Zimbabwe","Zimbabwe","bat","","Zimbabwe"
"953343","","[datetime.date(2016, 1, 6)]","Afghanistan","Zimbabwe","Zimbabwe","bat","","Afghanistan"
