No. , Official name (known as) , Location , Country , First used , Last used , No. of ODIs ," Ends
"
97,Lavington Sports Oval(Lavington Sports Club) ," Albury, New South Wales ", Australia ! Australia , 000000001992-03-18-000018 March 1992 , 000000001992-03-18-000018 March 1992[193] ,1 [194] ," Unknown
"
98,Harare Sports Club(formerly Salisbury Sports Club) , Harare , Zimbabwe ! Zimbabwe , 000000001992-10-25-000025 October 1992 , 6 September 2014[195] ,114 [196] ," • City End • Club House End
"
99,Bulawayo Athletic Club , Bulawayo , Zimbabwe ! Zimbabwe , 000000001992-10-31-000031 October 1992 , 000000001992-10-31-000031 October 1992[197] ,1 [198] ," Unknown
"
100,Sahara Park Newlands(Newlands) ," Cape Town, Western Cape ", South Africa ! South Africa , 000000001992-12-07-00007 December 1992 , 000000002013-11-24-000024 November 2013[199] ,36 [200] ," • Wynberg End • Kelvin Grove End
"
101,Axxess DSL St. Georges(St George’s Park) ," Port Elizabeth, Eastern Cape ", South Africa ! South Africa , 000000001992-12-09-00009 December 1992 , 000000002015-01-25-000025 January 2015[201] ,36 [202] ," • Duckpond End • Park Drive End
"
102,SuperSport Park(Centurion Park) ," Centurion, Gauteng ", South Africa ! South Africa , 000000001992-12-11-000011 December 1992 , 000000002015-01-28-000028 January 2015[203] ,46 [204] ," • Pavilion End • Hennops River End
"
103,New Wanderers Stadium(Wanderers) ," Johannesburg, Gauteng ", South Africa ! South Africa , 000000001992-12-13-000013 December 1992 , 000000002015-01-18-000018 January 2015[205] ,42 [206] ," • Corlett Drive End • Golf Course End
"
104,Goodyear Park(Springbok Park) ," Bloemfontein, Free State ", South Africa ! South Africa , 000000001992-12-15-000015 December 1992 , 000000002013-03-10-000010 March 2013[207] ,27 [208] ," • Loch Logan End • Willows End
"
105,"Sahara Stadium, Kingsmead(Kingsmead) "," Durban, KwaZulu-Natal ", South Africa ! South Africa , 000000001992-12-17-000017 December 1992 , 000000002015-01-16-000016 January 2015[209] ,40 [210] ," • Umgeni End • Old Fort Road End
"
106,Buffalo Park ," East London, Eastern Cape ", South Africa ! South Africa , 000000001992-12-19-000019 December 1992 , 000000002015-01-21-000021 January 2015[211] ,21 [212] ," • Buffalo Park Drive End • Bunkers Hill End
"
107,Moin-ul-Haq Stadium ," Patna, Bihar ", India ! India , 000000001993-11-15-000015 November 1993 , 000000001996-02-27-000027 February 1996[213] ,3 [214] ," • Ganga End • By Pass Road End
"
108,Punjab Cricket Association Stadium(Mohali) ," Mohali, Punjab ", India ! India , 000000001993-11-22-000022 November 1993 , 000000002013-10-19-000019 October 2013[215] ,22 [216] ," • Pavilion End • City End
"
109,Reliance Stadium(formerly Indian Petrochemicals Corporation Limited Sports Complex Ground) ," Vadodara, Baroda ", India ! India , 000000001994-10-28-000028 October 1994 , 000000002010-12-04-00004 December 2010[217] ,10 [218] ," Unknown
"
110,The Padang(Padang Cricket Ground) ," Singapore, Singapore ", Singapore ! Singapore , 000000001996-04-01-00001 April 1996 , 000000001996-04-07-00007 April 1996[219] ,5 [220] ," Unknown
"
111,"Toronto Cricket, Skating and Curling Club "," Toronto, Ontario ", Canada ! Canada , 000000001996-09-16-000016 September 1996 , 000000002011-08-09-00009 August 2011[221] ,30 [222] ," • Clubhouse End • Southern End
"
112,Gymkhana Club Ground ," Nairobi, Nairobi County ", Kenya ! Kenya , 000000001996-09-28-000028 September 1996 , 000000002010-10-11-000011 October 2010[223] ,62 [224] ," • City End • Forest Road End
"
113,Nairobi Club Ground ," Nairobi, Nairobi County ", Kenya ! Kenya , 000000001996-10-01-00001 October 1996 , 000000001996-10-01-00001 October 1996[225] ,1 [226] ," • Bowling Green End • Clubhouse End
"
114,Aga Khan Sports Club Ground ," Nairobi, Nairobi County ", Kenya ! Kenya , 000000001996-10-02-00002 October 1996 , 000000001997-10-16-000016 October 1997[227] ,4 [228] ," Unknown
"
115,Bugti Stadium(formerly Racecourse Ground) ," Quetta, Balochistan ", Pakistan ! Pakistan , 000000001996-10-30-000030 October 1996 , 000000001996-10-30-000030 October 1996[229] ,1 [230] ," Unknown
"
116,Queens Sports Club , Bulawayo , Zimbabwe ! Zimbabwe , 000000001996-12-15-000015 December 1996 , 21 August 2014[231] ,61 [232] ," • City End • Airport End
"
117,Boland Park(Boland Bank Park)  ," Paarl, Western Cape ", South Africa ! South Africa , 000000001997-01-27-000027 January 1997 , 000000002013-01-19-000019 January 2013[233] ,10 [234] ," • Riebeeck Kelders End • Stables End
"
118,Willowmoore Park(Willowmoore Park Main Oval)  ," Benoni, Gauteng ", South Africa ! South Africa , 000000001997-02-09-00009 February 1997 , 000000002010-10-22-000022 October 2010[235] ,19 [236] ," • Chalet End • Ekurhuleni End
"
119,Nehru Stadium ," Kaloor, Kochi, Kerala ", India ! India , 000000001998-04-01-00001 April 1998 , 000000002014-10-08-00008 October 2014[237] ,8 [238] ," • Road End • Media End
"
120,De Beers Diamond Oval(formerly Kimberley Country Club/De Beers Country Club) ," Kimberley, Northern Cape ", South Africa ! South Africa , 000000001998-04-07-00007 April 1998 , 000000002013-01-22-000022 January 2013[239] ,12 [240] ," • North End • South End
"
121,Sheikhupura Stadium ," Sheikhupura, Punjab ", Pakistan ! Pakistan , 000000001998-11-22-000022 November 1998 , 000000002008-02-02-00002 February 2008[241] ,2 [242] ," Unknown
"
122,Owen Delany Park ," Taupo, Waikato ", New Zealand ! New Zealand ,000000001999-01-09-00009 January 1999 , 000000002001-01-02-00002 January 2001[243] ,3 [244] ," • North End • Lake Taupo End
"
